Domain,Status,Attractiveness,Demand,Length,Sectors,Created,Expires,Registrar
one.republican,available,132,44%,3,"Business,General,Media,Technology",,,
brief.republican,available,124,19%,5,"Business,Education,General,Law",,,
complete.republican,available,120,21%,8,"Manufacturing,Retail,Technology",,,
second.republican,available,120,23%,6,"General,Mathematics",,,
wizard.republican,available,118,42%,6,"Entertainment,Media,Technology",,,
flat.republican,available,116,24%,4,"Construction,Real Estate",,,
tenth.republican,available,116,7%,5,Mathematics,,,
equal.republican,available,116,19%,5,"Education,General,Law",,,
tonic.republican,available,114,22%,5,"Health and Fitness,Medicine,Science",,,
acute.republican,available,112,9%,5,"Mathematics,Medicine,Science",,,
zero.republican,available,112,49%,4,Mathematics,,,
above.republican,available,112,22%,5,Business,,,
hotshot.republican,available,112,14%,7,"Business,Entertainment,Sports",,,
abstract.republican,available,108,29%,8,"Arts,Humanities,Science",,,
abiding.republican,available,106,5%,7,"General,Religion",,,
active.republican,available,104,27%,6,"Health and Fitness,Sports,Travel",,,
expert.republican,available,104,26%,6,"Business,Education,Technology",,,
teen.republican,available,104,14%,4,"Education,Entertainment,Healthcare",,,
captive.republican,available,102,14%,7,"Entertainment,Hospitality,Technology",,,
absent.republican,available,102,8%,6,"Business,Education,Technology",,,
extra.republican,available,102,26%,5,"Fashion,Retail,Technology",,,
eight.republican,available,102,23%,5,"General,Mathematics",,,
abrupt.republican,available,100,3%,6,"Medicine,Science",,,
whiz.republican,available,100,12%,4,"Business,Education,Technology",,,
remove.republican,available,100,13%,6,"Construction,Manufacturing,Technology",,,
crack.republican,available,100,20%,5,Sports,,,
eighth.republican,available,100,6%,6,Mathematics,,,
sixth.republican,available,100,8%,5,Mathematics,,,
adjunct.republican,available,100,5%,7,Education,,,
third.republican,available,100,16%,5,Mathematics,,,
ninth.republican,available,100,9%,5,Mathematics,,,
whizz.republican,available,98,11%,5,"Business,Education,Technology",,,
genius.republican,available,98,46%,6,"Arts,Education,Technology",,,
forgiving.republican,available,96,3%,9,"Healthcare,Religion",,,
actual.republican,available,96,22%,6,"Real Estate,Retail,Technology",,,
doable.republican,available,96,9%,6,"Business,Education,Technology",,,
academic.republican,available,96,20%,8,"Education,Humanities,Science",,,
alamode.republican,available,96,12%,9,Fashion,,,
about.republican,available,94,28%,5,"Business,General,Media,Technology",,,
around.republican,available,94,22%,6,"Business,General,Media,Technology",,,
adequate.republican,available,94,9%,8,"Education,Healthcare,Technology",,,
abject.republican,available,94,7%,6,Humanities,,,
virtuoso.republican,available,94,16%,8,"Arts,Entertainment",,,
exemplary.republican,available,92,5%,9,"Business,Education,Healthcare",,,
abroad.republican,available,92,12%,6,"Hospitality,Travel",,,
nought.republican,available,92,4%,6,Mathematics,,,
twentieth.republican,available,92,3%,9,Mathematics,,,
adept.republican,available,92,24%,5,"Education,Health and Fitness,Sports",,,
adjective.republican,available,92,5%,9,Education,,,
next.republican,available,92,43%,4,"Retail,Technology,Transportation",,,
derelict.republican,available,92,7%,8,"Construction,Real Estate",,,
neutral.republican,available,92,20%,7,"Business,Media,Politics",,,
leash.republican,available,90,7%,5,"General,Health and Fitness,Retail",,,
riveting.republican,available,90,6%,8,"Entertainment,Media,Technology",,,
clear.republican,expiring,90,47%,5,"Manufacturing,Retail,Technology",09/09/2020 21:36,09/09/2025 21:36,Squarespace Domains II LLC
additional.republican,available,90,8%,10,"Fashion,Retail,Technology",,,
addictive.republican,available,90,9%,9,Healthcare,,,
endearing.republican,available,90,1%,9,"Entertainment,Fashion,Retail",,,
abortive.republican,available,90,1%,8,"Medicine,Science",,,
gripping.republican,available,90,3%,8,"Entertainment,Media,Technology",,,
adoring.republican,available,90,2%,7,"Entertainment,Fashion,Retail",,,
ace.republican,available,88,34%,3,Sports,,,
fifteen.republican,available,88,13%,7,Mathematics,,,
sixteen.republican,available,88,11%,7,Mathematics,,,
eleven.republican,available,88,33%,6,Mathematics,,,
ten.republican,available,88,28%,3,"General,Mathematics",,,
actionable.republican,available,88,13%,10,"Business,Law",,,
three.republican,available,88,24%,5,Mathematics,,,
proficient.republican,available,88,8%,10,"Education,Health and Fitness,Sports",,,
wide.republican,available,88,18%,4,"Business,Media,Technology",,,
adlib.republican,available,88,7%,6,Entertainment,,,
hundred.republican,available,88,14%,7,Mathematics,,,
twelve.republican,available,88,18%,6,"General,Mathematics",,,
star.republican,available,86,40%,4,"Entertainment,Media,Sports",,,
adolescent.republican,available,86,3%,10,"Education,Entertainment,Healthcare",,,
engrossing.republican,available,86,0%,10,"Entertainment,Media,Technology",,,
